raw_shapelet_num,pruned_shapelet_num,time,accuracy
50,1,0.533333333333,0.575556666667
100,1,0.753333333333,0.704443333333
150,1,0.956666666667,0.49111
200,1,1.17333333333,0.695556666667
250,1,1.23666666667,0.58889
300,1,1.48,0.546666666667
350,1,1.51666666667,0.58
400,1,1.65666666667,0.602223333333
450,1,1.76,0.564443333333
500,1,1.88,0.617776666667
50,6,1.4,0.864446666667
100,6,1.57,0.746666666667
150,6,1.82666666667,0.83333
200,6,2.02666666667,0.78
250,6,2.03,0.837776666667
300,6,2.25,0.813333333333
350,6,2.39,0.766666666667
400,6,2.49666666667,0.78222
450,6,2.52666666667,0.813333333333
500,6,2.71666666667,0.795553333333
50,11,2.16666666667,0.875556666667
100,11,2.41333333333,0.891113333333
150,11,2.58333333333,0.864443333333
200,11,2.64666666667,0.86
250,11,2.91333333333,0.864443333333
300,11,3.00666666667,0.926666666667
350,11,3.14666666667,0.92
400,11,3.22666666667,0.87778
450,11,3.41333333333,0.89111
500,11,3.49,0.86889
50,16,3.01333333333,0.928886666667
100,16,3.26,0.922223333333
150,16,3.41333333333,0.911113333333
200,16,3.59333333333,0.937776666667
250,16,3.69,0.946666666667
300,16,3.82666666667,0.91333
350,16,3.99666666667,0.913333333333
400,16,4.05,0.90889
450,16,4.08333333333,0.91111
500,16,4.33333333333,0.917776666667
50,21,3.81,0.962223333333
100,21,4.05666666667,0.944446666667
150,21,4.14666666667,0.94667
200,21,4.47666666667,0.92
250,21,4.56666666667,0.935556666667
300,21,4.76,0.915556666667
350,21,4.72333333333,0.924443333333
400,21,4.80666666667,0.924443333333
450,21,4.98,0.931113333333
500,21,4.93333333333,0.935553333333
50,26,3.64666666667,0.966666666667
100,26,4.88333333333,0.975553333333
150,26,5.03333333333,0.959996666667
200,26,5.22666666667,0.944446666667
250,26,5.38,0.94
300,26,5.37666666667,0.957776666667
350,26,5.73333333333,0.968886666667
400,26,5.67666666667,0.948886666667
450,26,5.73,0.942223333333
500,26,5.93333333333,0.93778
50,31,4.47666666667,0.957776666667
100,31,5.69,0.964443333333
150,31,5.89333333333,0.953333333333
200,31,6.06666666667,0.935553333333
250,31,6.21,0.948886666667
300,31,6.46333333333,0.966666666667
350,31,6.30666666667,0.97111
400,31,6.52666666667,0.955556666667
450,31,6.69666666667,0.94889
500,31,6.8,0.966666666667
50,36,3.99333333333,0.982223333333
100,36,6.51333333333,0.96
150,36,6.69,0.955556666667
200,36,6.78666666667,0.984443333333
250,36,7.20666666667,0.942223333333
300,36,7.15,0.975553333333
350,36,7.36333333333,0.964443333333
400,36,7.41,0.957776666667
450,36,7.78666666667,0.966666666667
500,36,7.57,0.964446666667
50,41,4.59,0.94889
100,41,7.14666666667,0.96
150,41,7.46,0.953336666667
200,41,7.55333333333,0.96889
250,41,7.73333333333,0.97111
300,41,7.97333333333,0.973333333333
350,41,7.99,0.955556666667
400,41,8.3,0.973333333333
450,41,8.44666666667,0.959996666667
500,41,8.58666666667,0.95778
50,46,4.09,0.957776666667
100,46,7.10333333333,0.98
150,46,8.33666666667,0.97111
200,46,8.67333333333,0.97111
250,46,8.77333333333,0.953333333333
300,46,8.79,0.966666666667
350,46,8.75,0.984446666667
400,46,9.06333333333,0.971113333333
450,46,9.14333333333,0.96222
500,46,9.50666666667,0.966666666667
50,51,4.30666666667,0.944443333333
100,51,7.58666666667,0.97111
150,51,9.21666666667,0.977776666667
200,51,9.31333333333,0.968886666667
250,51,9.36,0.96889
300,51,9.74333333333,0.931113333333
350,51,9.94,0.97778
400,51,9.94333333333,0.97111
450,51,10.1066666667,0.96889
500,51,10.19,0.979996666667
