0,0.542,0.125,0.44
0.009,0.667,0.167,0.36
0.017,0.667,0.167,0.36
0.026,0.833,0.25,0.24
0.034,1.125,0.375,0.28
0.043,1.458,0.5,0.36
0.051,1.667,0.583,0.48
0.06,1.708,0.625,0.68
0.069,1.708,0.625,0.68
0.077,1.583,0.625,0.92
0.086,1.458,0.583,1.12
0.094,1.292,0.625,1.44
0.103,1.167,0.625,1.92
0.111,1.167,0.625,1.92
0.12,1.083,0.625,2.52
0.128,1.083,0.667,3.04
0.137,1.083,0.667,3.04
0.145,0.958,0.792,3.44
0.154,0.625,0.75,3.48
0.162,0.208,0.708,3.44
0.171,0.208,0.708,3.44
0.18,-0.333,0.542,3.32
0.188,-0.792,0.417,3.12
0.197,-1.042,0.333,2.88
0.205,-1.125,0.333,2.68
0.214,-1.208,0.417,2.6
0.222,-1.333,0.458,2.52
0.231,-1.333,0.458,2.52
0.239,-1.458,0.542,2.4
0.248,-1.625,0.583,2.2
0.257,-1.708,0.583,2
0.265,-1.667,0.667,1.64
0.274,-1.583,0.708,1.36
0.282,-1.583,0.708,1.36
0.291,-1.583,0.708,1.16
0.299,-1.583,0.708,1
0.308,-1.542,0.75,0.84
0.316,-1.458,0.75,0.72
0.325,-1.375,0.75,0.76
0.333,-1.375,0.75,0.76
0.342,-1.375,0.75,0.72
0.35,-1.417,0.708,0.56
0.359,-1.417,0.708,0.4
0.367,-1.333,0.708,0.28
0.376,-1.167,0.75,0.24
0.384,-1.167,0.75,0.24
0.393,-1,0.792,0.12
0.402,-0.917,0.792,0
0.41,-0.833,0.792,-0.16
0.419,-0.75,0.833,-0.32
0.427,-0.583,0.833,-0.4
0.436,-0.583,0.833,-0.4
0.446,-0.458,0.875,-0.52
0.455,-0.333,0.917,-0.64
0.463,-0.25,0.958,-0.76
0.472,-0.167,1.042,-0.96
0.481,0,1.125,-1.16
0.49,0.208,1.25,-1.36
0.499,0.583,1.5,-1.68
0.507,0.583,1.5,-1.68
0.517,1.042,1.75,-2
0.525,1.375,1.958,-1.72
0.534,1.833,2.25,-1.12
0.542,2.333,2.458,-0.64
0.551,2.75,2.542,-0.28
0.559,2.75,2.542,-0.28
0.568,2.708,2.458,0
0.576,2.542,2.458,0.28
0.585,2.375,2.375,0.84
0.594,2.292,2.167,1.76
0.602,2.042,1.917,2.64
0.611,2.042,1.917,2.64
0.619,1.75,1.708,2.72
0.628,1.25,1.333,2.8
0.636,0.583,0.917,3.48
0.645,0.125,0.542,4
0.653,-0.375,0.25,4.24
0.662,-0.875,-0.083,4.32
0.67,-0.875,-0.083,4.32
0.679,-1.167,-0.333,4.28
0.687,-1.292,-0.375,4.04
0.696,-1.25,-0.333,3.48
0.704,-1.167,-0.292,2.8
0.713,-1.083,-0.25,2.28
0.721,-1.083,-0.25,2.28
0.73,-0.875,-0.167,1.8
0.738,-0.708,-0.125,1.36
0.747,-0.542,-0.042,1.08
0.755,-0.375,0.042,0.92
0.764,-0.25,0.125,0.8
0.772,-0.25,0.125,0.8
0.781,-0.125,0.25,0.64
0.79,-0.042,0.333,0.6
0.798,0.125,0.417,0.64
0.807,0.25,0.458,0.76
