0,0.038,-0.556,0.423
0.009,0.115,-0.556,0.423
0.017,0.192,-0.519,0.462
0.026,0.231,-0.556,0.423
0.034,0.192,-0.481,0.385
0.043,0.269,-0.481,0.308
0.051,0.269,-0.481,0.308
0.06,0.269,-0.519,0.154
0.068,0.192,-0.593,0
0.077,0.115,-0.667,-0.231
0.085,0.077,-0.741,-0.346
0.094,0.038,-0.63,-0.308
0.102,0.038,-0.63,-0.308
0.111,0.192,-0.556,-0.192
0.119,0.385,-0.37,-0.115
0.128,0.5,-0.259,-0.115
0.136,0.269,-0.259,-0.077
0.145,0,-0.333,-0.077
0.153,0,-0.333,-0.077
0.162,-0.077,-0.333,-0.154
0.171,-0.077,-0.185,-0.308
0.179,0.077,-0.111,-0.269
0.188,0.192,0.111,-0.269
0.196,0.269,0.222,-0.192
0.205,0.308,0.407,-0.038
0.213,0.308,0.407,-0.038
0.222,0.308,0.704,-0.538
0.23,0.192,0.926,0
0.239,0.269,1.111,0.654
0.247,0.385,1.259,1.154
0.256,0.308,1.259,1.692
0.264,0.423,1.259,1.923
0.273,0.423,1.259,1.923
0.282,0.5,1.185,2
0.29,0.423,1.074,1.923
0.299,0.385,1.037,1.846
0.307,0.385,1.037,2.038
0.316,0.5,1.074,2.077
0.324,0.615,1.037,2.038
0.333,0.615,1.037,2.038
0.341,0.731,0.963,2
0.35,0.808,0.889,1.769
0.358,0.769,0.741,1.538
0.367,0.654,0.63,1.385
