TimeSeriesLength,Accuracy
5,0.8953261927945472
5,0.8851022395326192
5,0.8915936384290815
5,0.8951639078221356
5,0.8962999026290166
5,0.8987341772151899
5,0.8941901979876663
5,0.8818565400843882
10,0.8995456020772477
10,0.8873742291463811
10,0.9024667315806556
10,0.8953261927945472
10,0.9003570269393054
10,0.8988964621876014
10,0.9036027263875365
10,0.9010061668289516
20,0.8964621876014282
20,0.8980850373255437
20,0.9011684518013632
20,0.8979227523531321
20,0.899058747160013
20,0.9010061668289516
20,0.8998701720220708
20,0.8974358974358975
40,0.9039272963323596
40,0.8899707887049659
40,0.9006815968841285
40,0.8940279130152547
40,0.8997078870496592
40,0.8988964621876014
40,0.8969490425186628
40,0.9042518662771827
