TimeSeriesLength,Accuracy
300,0.9206426484907497
300,0.9160986692632263
300,0.9224277831872768
300,0.9188575137942226
300,0.9269717624148004
300,0.9255111976630964
300,0.9201557935735151
300,0.9203180785459266
400,0.9175592340149302
400,0.9178838039597533
400,0.9204803635183382
400,0.9196689386562804
400,0.925673482635508
400,0.9258357676079195
400,0.9222654982148653
400,0.9225900681596884
500,0.912528399870172
500,0.9148003894839338
500,0.9180460889321649
500,0.9165855241804609
500,0.9211295034079844
500,0.9212917883803959
500,0.9211295034079844
500,0.9182083739045764
600,0.9092827004219409
600,0.9107432651736449
600,0.9177215189873418
600,0.9141512495942876
600,0.9185329438493995
600,0.9221032132424537
600,0.9193443687114573
600,0.9152872444011685

275,0.9185329438493995
275,0.9152872444011685
275,0.9185329438493995
275,0.9178838039597533
275,0.9259980525803311
275,0.9261603375527426
275,0.9203180785459266
275,0.9209672184355728
325,0.9206426484907497
325,0.9173969490425187
325,0.9229146381045116
325,0.9178838039597533
325,0.9259980525803311
325,0.9224277831872768
325,0.9214540733528075
325,0.9225900681596884

375,0.9182083739045764
375,0.9160986692632263
375,0.9203180785459266
375,0.9209672184355728
375,0.9245374878286271
375,0.9237260629665693
375,0.9221032132424537
375,0.9225900681596884
425,0.9160986692632263
425,0.9175592340149302

350,0.9193443687114573
350,0.9173969490425187
350,0.919831223628692
350,0.9203180785459266
350,0.9240506329113924
350,0.9232392080493347
350,0.9211295034079844
350,0.9229146381045116
450,0.9135021097046413
450,0.9193443687114573
450,0.9170723790976956
450,0.9156118143459916
450,0.9240506329113924
450,0.9229146381045116
450,0.9227523531321
450,0.9195066536838689
550,0.9102564102564102
550,0.9139889646218761
550,0.9175592340149302
550,0.9177215189873418
550,0.9195066536838689
