raw_shapelet_num,pruned_shapelet_num,time,accuracy
50,1,1.30666666667,0.6
100,1,2.45333333333,0.5
150,1,3.48,0.5
200,1,4.49,0.3
250,1,5.5,0.7
300,1,6.54,0.5
50,6,2.09,0.75
100,6,3.14,0.6
150,6,4.22333333333,0.65
200,6,5.22333333333,0.65
250,6,6.18666666667,0.4
300,6,7.24,0.5
50,11,2.86666666667,0.85
100,11,3.94333333333,0.95
150,11,4.91333333333,0.6
200,11,5.96,0.55
250,11,6.95666666667,0.75
300,11,8.01,0.8
50,16,3.65666666667,0.95
100,16,4.71333333333,0.95
150,16,5.68,0.55
200,16,6.62,0.6
250,16,7.68666666667,0.65
300,16,8.74,0.65
50,21,4.46333333333,0.85
100,21,5.41333333333,1.0
150,21,6.41666666667,0.8
200,21,7.37333333333,0.65
250,21,8.37,0.65
300,21,9.43,0.65
50,26,5.16333333333,0.9
100,26,6.21333333333,0.9
150,26,7.2,0.8
200,26,8.07666666667,0.75
250,26,9.11666666667,0.7
300,26,10.1666666667,0.65
50,31,5.95,0.8
100,31,7.00333333333,0.9
150,31,7.89333333333,0.75
200,31,8.85,0.75
250,31,9.83333333333,0.75
300,31,10.9133333333,0.7
50,36,6.11333333333,0.85
100,36,7.70333333333,1.0
150,36,8.69,0.95
200,36,9.63,0.9
250,36,10.63,0.75
300,36,11.62,0.75
50,41,6.1,0.85
100,41,8.49,0.95
150,41,9.50666666667,0.8
200,41,10.3833333333,0.9
250,41,11.3866666667,0.75
300,41,12.47,0.7
50,46,6.11,0.85
100,46,9.27333333333,0.95
150,46,10.2833333333,0.8
200,46,11.1033333333,0.9
250,46,12.1733333333,0.8
300,46,13.1766666667,0.75
50,51,6.09666666667,0.85
100,51,10.0766666667,0.9
150,51,11.0333333333,0.8
200,51,11.9066666667,0.8
250,51,12.87,0.8
300,51,14.0266666667,0.75
