raw_shapelet_num,pruned_shapelet_num,time,accuracy
50,1,4.14,0.5
100,1,8.05333333333,0.6
150,1,11.97,0.6
200,1,15.6466666667,0.5
250,1,19.23,0.5
300,1,23.1266666667,0.5
50,6,4.89333333333,0.65
100,6,8.84666666667,0.75
150,6,12.7733333333,0.65
200,6,16.4166666667,0.55
250,6,20.1433333333,0.6
300,6,23.9033333333,0.65
50,11,5.66333333333,0.55
100,11,9.57666666667,0.6
150,11,13.4433333333,0.65
200,11,17.1933333333,0.55
250,11,20.9466666667,0.55
300,11,24.5633333333,0.5
50,16,6.42333333333,0.55
100,16,10.3033333333,0.5
150,16,14.0933333333,0.75
200,16,17.8833333333,0.7
250,16,21.6,0.6
300,16,25.4666666667,0.65
50,21,7.20333333333,0.6
100,21,11.1033333333,0.55
150,21,14.7933333333,0.65
200,21,18.49,0.6
250,21,22.27,0.6
300,21,26.1666666667,0.8
50,26,7.95666666667,0.6
100,26,11.9,0.55
150,26,15.5433333333,0.5
200,26,19.16,0.6
250,26,23.0266666667,0.65
300,26,26.85,0.75
50,31,8.69666666667,0.6
100,31,12.68,0.5
150,31,16.35,0.5
200,31,19.9566666667,0.6
250,31,23.5966666667,0.7
300,31,27.5766666667,0.7
50,36,9.51333333333,0.8
100,36,13.3866666667,0.5
150,36,17.0833333333,0.45
200,36,20.6833333333,0.55
250,36,24.3933333333,0.65
300,36,28.2333333333,0.55
50,41,10.1533333333,0.85
100,41,14.1933333333,0.5
150,41,17.89,0.5
200,41,21.4333333333,0.55
250,41,25.0566666667,0.6
300,41,28.9066666667,0.6
50,46,10.4833333333,0.75
100,46,14.91,0.45
150,46,18.6633333333,0.45
200,46,22.21,0.6
250,46,25.8966666667,0.55
300,46,29.5966666667,0.65
50,51,10.4666666667,0.75
100,51,15.61,0.55
150,51,19.3433333333,0.55
200,51,22.92,0.55
250,51,26.6233333333,0.55
300,51,30.5166666667,0.65
