raw_shapelet_num,pruned_shapelet_num,time,accuracy
50,1,2.19666666667,0.36986
100,1,3.53333333333,0.38356
150,1,4.81333333333,0.34247
200,1,6.46666666667,0.27397
250,1,8.62,0.27397
300,1,9.76666666667,0.27397
50,6,3.64666666667,0.58904
100,6,5.00666666667,0.45205
150,6,6.20333333333,0.50685
200,6,7.91666666667,0.41096
250,6,10.06,0.42466
300,6,11.2133333333,0.42466
50,11,5.13666666667,0.60274
100,11,6.50333333333,0.54795
150,11,7.73666666667,0.49315
200,11,9.43333333333,0.50685
250,11,11.5166666667,0.43836
300,11,12.7,0.43836
50,16,5.43,0.52055
100,16,8.03,0.60274
150,16,9.22,0.56164
200,16,10.8866666667,0.52055
250,16,13.0366666667,0.47945
300,16,14.15,0.47945
50,21,5.42666666667,0.52055
100,21,9.6,0.65753
150,21,10.7433333333,0.58904
200,21,12.3966666667,0.61644
250,21,14.5833333333,0.56164
300,21,15.7233333333,0.53425
50,26,5.43666666667,0.52055
100,26,9.83666666667,0.67123
150,26,12.3166666667,0.57534
200,26,13.9533333333,0.68493
250,26,16.1066666667,0.67123
300,26,17.23,0.65753
50,31,5.46666666667,0.52055
100,31,9.88,0.67123
150,31,13.9266666667,0.67123
200,31,15.5333333333,0.61644
250,31,17.7366666667,0.57534
300,31,18.86,0.65753
50,36,5.44,0.52055
100,36,9.88666666667,0.67123
150,36,13.4566666667,0.67123
200,36,16.95,0.67123
250,36,19.2066666667,0.65753
300,36,20.33,0.58904
50,41,5.47,0.52055
100,41,9.9,0.67123
150,41,13.5233333333,0.67123
200,41,18.17,0.72603
250,41,20.76,0.64384
300,41,21.8166666667,0.68493
50,46,5.45,0.52055
100,46,9.91,0.67123
150,46,13.4366666667,0.67123
200,46,18.12,0.72603
250,46,22.2666666667,0.64384
300,46,23.3233333333,0.65753
50,51,5.42666666667,0.52055
100,51,9.88666666667,0.67123
150,51,13.5533333333,0.67123
200,51,18.2333333333,0.72603
250,51,23.81,0.61644
300,51,24.97,0.68493
