raw_shapelet_num,pruned_shapelet_num,time,accuracy
50,1,3.29333333333,0.54688
100,1,5.93,0.59375
150,1,8.45,0.59375
200,1,10.9133333333,0.59375
250,1,13.4233333333,0.5625
300,1,16.0566666667,0.59375
50,6,5.37,0.46875
100,6,8.01666666667,0.46875
150,6,10.53,0.5
200,6,12.9366666667,0.60938
250,6,15.1933333333,0.625
300,6,17.72,0.71875
50,11,7.80333333333,0.57812
100,11,9.71,0.57812
150,11,12.46,0.54688
200,11,14.6233333333,0.53125
250,11,17.2033333333,0.51562
300,11,19.9133333333,0.5625
50,16,10.3733333333,0.57812
100,16,11.97,0.5625
150,16,14.4033333333,0.57812
200,16,16.77,0.54688
250,16,19.2066666667,0.51562
300,16,21.9266666667,0.60938
50,21,12.9533333333,0.51562
100,21,14.1933333333,0.54688
150,21,16.2133333333,0.53125
200,21,18.3633333333,0.625
250,21,21.2133333333,0.59375
300,21,24.0733333333,0.60938
50,26,15.6233333333,0.53125
100,26,16.5733333333,0.57812
150,26,18.54,0.54688
200,26,20.4666666667,0.59375
250,26,22.95,0.57812
300,26,25.9366666667,0.59375
50,31,18.2,0.625
100,31,19.0333333333,0.53125
150,31,20.73,0.51562
200,31,22.77,0.5
250,31,25.0633333333,0.59375
300,31,27.8333333333,0.53125
50,36,19.2066666667,0.625
100,36,21.68,0.60938
150,36,22.9866666667,0.48438
200,36,25.06,0.54688
250,36,27.1733333333,0.5625
300,36,29.55,0.5625
50,41,19.1733333333,0.625
100,41,24.3233333333,0.64062
150,41,25.3933333333,0.5
200,41,27.26,0.51562
250,41,29.5666666667,0.53125
300,41,31.6866666667,0.625
50,46,19.2133333333,0.625
100,46,26.8,0.60938
150,46,27.9833333333,0.48438
200,46,29.74,0.65625
250,46,33.1966666667,0.53125
300,46,34.4966666667,0.625
50,51,19.3433333333,0.625
100,51,29.5466666667,0.625
150,51,30.7633333333,0.48438
200,51,31.88,0.60938
250,51,34.1,0.51562
300,51,37.43,0.59375
