raw_shapelet_num,pruned_shapelet_num,time,accuracy
50,1,4.11333333333,0.74
100,1,7.16,0.765
150,1,10.1933333333,0.7775
200,1,13.0633333333,0.7925
250,1,16.11,0.7625
300,1,19.0366666667,0.6875
50,6,4.94,0.735
100,6,7.86666666667,0.77
150,6,10.9833333333,0.7775
200,6,13.7633333333,0.7625
250,6,16.97,0.775
300,6,19.8066666667,0.7725
50,11,5.88666666667,0.7625
100,11,8.77,0.805
150,11,11.7633333333,0.7975
200,11,14.5966666667,0.7175
250,11,17.8133333333,0.7725
300,11,20.6033333333,0.795
50,16,6.95,0.7475
100,16,9.78333333333,0.8125
150,16,12.7066666667,0.7925
200,16,15.36,0.7175
250,16,18.51,0.4575
300,16,21.3333333333,0.7825
50,21,8.08666666667,0.6975
100,21,10.6,0.8125
150,21,13.6633333333,0.765
200,21,16.27,0.7825
250,21,19.4666666667,0.815
300,21,22.17,0.8075
50,26,9.28666666667,0.72
100,26,11.5466666667,0.7625
150,26,14.5133333333,0.8
200,26,17.0966666667,0.8225
250,26,20.0033333333,0.59
300,26,22.9266666667,0.8
50,31,10.2833333333,0.79
100,31,12.6266666667,0.825
150,31,15.4833333333,0.7825
200,31,18.1266666667,0.8325
250,31,20.95,0.335
300,31,23.7166666667,0.765
50,36,11.19,0.7875
100,36,13.5966666667,0.81
150,36,16.41,0.8025
200,36,19.08,0.8175
250,36,21.9966666667,0.8175
300,36,24.6866666667,0.7775
50,41,11.2033333333,0.7875
100,41,14.7,0.795
150,41,17.3466666667,0.765
200,41,19.9533333333,0.82
250,41,22.86,0.7875
300,41,25.69,0.835
50,46,11.24,0.7875
100,46,15.8266666667,0.815
150,46,18.5766666667,0.8
200,46,21.0366666667,0.8025
250,46,23.8466666667,0.8125
300,46,26.6166666667,0.84
50,51,11.2433333333,0.7875
100,51,17.0366666667,0.805
150,51,19.4933333333,0.8175
200,51,21.99,0.61
250,51,24.9033333333,0.8125
300,51,27.56,0.85
