raw_shapelet_num,pruned_shapelet_num,time,accuracy
50,1,1.08333333333,0.55981
100,1,1.42,0.72125
150,1,1.75666666667,0.56446
200,1,2.07666666667,0.67131
250,1,2.39333333333,0.4971
300,1,2.68,0.4971
50,6,3.7,0.48432
100,6,3.90333333333,0.69454
150,6,4.38333333333,0.50987
200,6,4.74,0.60163
250,6,5.18,0.73403
300,6,5.35333333333,0.63647
50,11,6.84333333333,0.67015
100,11,6.86,0.93264
150,11,6.93333333333,0.72474
200,11,7.24666666667,0.66318
250,11,7.50666666667,0.97561
300,11,8.19333333333,0.74564
50,16,9.49666666667,0.84321
100,16,9.61333333333,0.90476
150,16,9.55333333333,0.91521
200,16,9.8,0.93496
250,16,10.0433333333,0.96632
300,16,10.6033333333,0.99303
50,21,13.21,0.82346
100,21,12.6033333333,0.96516
150,21,12.1866666667,0.98955
200,21,12.59,0.96632
250,21,12.59,0.99071
300,21,13.09,0.97329
50,26,16.1766666667,0.87921
100,26,15.5366666667,0.99535
150,26,15.1,0.9849
200,26,15.44,0.99652
250,26,15.46,0.99071
300,26,15.6433333333,0.99419
50,31,19.6166666667,0.91289
100,31,18.4533333333,0.97096
150,31,18.3166666667,0.99303
200,31,18.0366666667,0.99071
250,31,18.1266666667,0.99884
300,31,18.5166666667,0.99071
50,36,20.0933333333,0.91289
100,36,21.3633333333,0.98606
150,36,21.18,0.99768
200,36,21.1133333333,0.99419
250,36,20.8866666667,0.99884
300,36,21.1633333333,0.99303
50,41,20.0333333333,0.91289
100,41,24.3533333333,0.98955
150,41,24.0566666667,1.0
200,41,24.0566666667,0.99419
250,41,23.8633333333,0.99884
300,41,23.7833333333,0.99303
50,46,20.1133333333,0.91289
100,46,27.5466666667,0.99652
150,46,26.5533333333,0.99884
200,46,26.99,0.99652
250,46,26.59,0.99535
300,46,26.4633333333,0.99303
50,51,20.0933333333,0.91289
100,51,30.6566666667,1.0
150,51,29.4166666667,0.99884
200,51,29.73,1.0
250,51,29.5733333333,0.99768
300,51,29.3033333333,1.0
