raw_shapelet_num,pruned_shapelet_num,time,accuracy
50,1,4.23333333333,0.23308
100,1,7.32333333333,0.21554
150,1,10.0933333333,0.37845
200,1,12.99,0.21805
250,1,15.54,0.1604
300,1,18.2933333333,0.22807
50,6,5.15,0.62907
100,6,8.21,0.60902
150,6,10.98,0.61905
200,6,13.89,0.59148
250,6,16.48,0.62907
300,6,19.2233333333,0.60652
50,11,6.08,0.61153
100,11,9.10333333333,0.63659
150,11,11.9333333333,0.61905
200,11,14.71,0.59398
250,11,17.3333333333,0.57644
300,11,20.0866666667,0.61153
50,16,7.19666666667,0.60652
100,16,10.09,0.63659
150,16,12.8366666667,0.64662
200,16,15.78,0.6015
250,16,18.28,0.60401
300,16,20.9066666667,0.6015
50,21,8.37,0.6015
100,21,11.0166666667,0.62155
150,21,13.82,0.62907
200,21,16.65,0.60401
250,21,19.2666666667,0.60902
300,21,21.8333333333,0.59649
50,26,9.47666666667,0.599
100,26,11.95,0.57644
150,26,14.6866666667,0.59398
200,26,17.73,0.60902
250,26,20.0366666667,0.59649
300,26,22.79,0.57644
50,31,10.59,0.58647
100,31,13.0433333333,0.57644
150,31,15.5333333333,0.60902
200,31,18.4966666667,0.60902
250,31,21.27,0.58647
300,31,23.69,0.599
50,36,11.33,0.5614
100,36,14.1266666667,0.56391
150,36,16.5033333333,0.60902
200,36,19.5466666667,0.60652
250,36,22.1066666667,0.58647
300,36,24.76,0.59649
50,41,11.3533333333,0.5614
100,41,15.2633333333,0.5614
150,41,17.5566666667,0.59398
200,41,20.3433333333,0.57143
250,41,23.03,0.59398
300,41,25.8,0.58396
50,46,11.3566666667,0.5614
100,46,16.4233333333,0.56892
150,46,18.7366666667,0.56892
200,46,21.41,0.57895
250,46,23.9466666667,0.58647
300,46,26.77,0.57393
50,51,11.35,0.5614
100,51,17.6133333333,0.58647
150,51,19.9066666667,0.58897
200,51,22.4133333333,0.56892
250,51,24.9166666667,0.57143
300,51,27.85,0.6015
