raw_shapelet_num,pruned_shapelet_num,time,accuracy
50,1,7.51,0.67
100,1,13.39,0.64667
150,1,19.4566666667,0.64667
200,1,25.24,0.64667
250,1,29.9433333333,0.64667
300,1,35.4233333333,0.64667
50,6,9.00666666667,0.495
100,6,14.8133333333,0.49
150,6,20.89,0.50833
200,6,26.4766666667,0.495
250,6,31.28,0.49
300,6,36.64,0.515
50,11,10.6066666667,0.47833
100,11,16.18,0.505
150,11,21.9833333333,0.51
200,11,27.9733333333,0.51667
250,11,32.5466666667,0.49333
300,11,38.1266666667,0.495
50,16,12.3866666667,0.47667
100,16,17.7633333333,0.49333
150,16,23.5733333333,0.65167
200,16,29.2166666667,0.52167
250,16,33.9666666667,0.51
300,16,39.59,0.47333
50,21,14.1766666667,0.45333
100,21,19.2,0.51833
150,21,25.0433333333,0.46167
200,21,30.84,0.51167
250,21,35.31,0.5
300,21,40.73,0.515
50,26,15.9966666667,0.51167
100,26,20.8833333333,0.51833
150,26,26.46,0.45833
200,26,32.2933333333,0.58167
250,26,36.9133333333,0.50833
300,26,42.3233333333,0.51
50,31,17.9033333333,0.50333
100,31,22.66,0.535
150,31,28.1333333333,0.555
200,31,33.66,0.48333
250,31,38.32,0.54
300,31,44.0666666667,0.66833
50,36,19.0666666667,0.49
100,36,24.2166666667,0.56167
150,36,29.6566666667,0.59
200,36,35.19,0.535
250,36,39.74,0.53
300,36,45.42,0.545
50,41,19.1933333333,0.49
100,41,26.0533333333,0.57667
150,41,31.2566666667,0.58833
200,41,36.6566666667,0.59
250,41,41.4,0.66667
300,41,46.7933333333,0.515
50,46,19.0866666667,0.49
100,46,27.9366666667,0.56667
150,46,32.72,0.61
200,46,38.2433333333,0.735
250,46,43.0566666667,0.64
300,46,48.3933333333,0.56333
50,51,19.1133333333,0.49
100,51,29.9066666667,0.605
150,51,34.5166666667,0.61833
200,51,39.96,0.65667
250,51,44.6566666667,0.735
300,51,49.9766666667,0.56667
