raw_shapelet_num,pruned_shapelet_num,time,accuracy
50,1,5.74333333333,0.51447
100,1,7.60666666667,0.51447
150,1,9.08,0.51447
200,1,11.2233333333,0.51447
250,1,13.94,0.51447
300,1,15.8066666667,0.51447
50,6,8.39333333333,0.52105
100,6,9.86333333333,0.51974
150,6,11.3566666667,0.53816
200,6,13.6033333333,0.53684
250,6,16.4966666667,0.53158
300,6,18.3466666667,0.53158
50,11,11.19,0.60395
100,11,12.7933333333,0.58421
150,11,14.1233333333,0.58289
200,11,16.34,0.55263
250,11,19.2833333333,0.56974
300,11,21.0233333333,0.57632
50,16,14.1166666667,0.60526
100,16,15.75,0.59605
150,16,17.0133333333,0.61974
200,16,19.36,0.58947
250,16,22.62,0.60395
300,16,24.1266666667,0.59211
50,21,16.1233333333,0.63816
100,21,18.5366666667,0.62368
150,21,20.21,0.63158
200,21,22.0266666667,0.58947
250,21,25.56,0.62237
300,21,27.0133333333,0.60789
50,26,16.09,0.63816
100,26,21.57,0.62105
150,26,23.2266666667,0.61974
200,26,25.0466666667,0.61579
250,26,27.4133333333,0.63158
300,26,29.0733333333,0.63026
50,31,15.94,0.63816
100,31,23.7633333333,0.64079
150,31,25.75,0.63158
200,31,27.2266666667,0.61711
250,31,30.2466666667,0.64868
300,31,31.6166666667,0.61974
50,36,15.87,0.63816
100,36,25.53,0.65921
150,36,28.7466666667,0.64079
200,36,30.32,0.63421
250,36,33.2333333333,0.65526
300,36,34.6666666667,0.64737
50,41,15.88,0.63816
100,41,25.2966666667,0.65921
150,41,31.0966666667,0.64605
200,41,33.1066666667,0.63684
250,41,35.7266666667,0.66974
300,41,37.5566666667,0.65658
50,46,15.8833333333,0.63816
100,46,25.3833333333,0.65921
150,46,32.2,0.66447
200,46,36.1133333333,0.63553
250,46,38.49,0.625
300,46,40.2566666667,0.63158
50,51,15.9633333333,0.63816
100,51,25.4366666667,0.65921
150,51,32.18,0.66447
200,51,39.1266666667,0.63947
250,51,41.5133333333,0.65
300,51,43.2333333333,0.67763
