TimeSeriesLength,AccuracyX,AccuracyY,AccuracyZ
50,0.6435897435897436,0.717948717948718,0.6974358974358974
50,0.6666666666666666,0.7256410256410256,0.7102564102564103
50,0.6256410256410256,0.7025641025641025,0.658974358974359
50,0.6076923076923076,0.717948717948718,0.6846153846153846
50,0.6307692307692307,0.7333333333333333,0.7
50,0.6820512820512821,0.764102564102564,0.676923076923077
50,0.6282051282051282,0.7333333333333333,0.6974358974358974
50,0.5897435897435898,0.6846153846153846,0.676923076923077
100,0.6282051282051282,0.6948717948717948,0.6948717948717948
100,0.6641025641025641,0.7,0.7102564102564103
100,0.6025641025641025,0.6846153846153846,0.6641025641025641
100,0.6025641025641025,0.7051282051282052,0.6846153846153846
100,0.6282051282051282,0.7,0.676923076923077
100,0.6512820512820513,0.7153846153846154,0.6974358974358974
100,0.5974358974358974,0.7051282051282052,0.6692307692307692
100,0.5692307692307692,0.6564102564102564,0.6615384615384615
150,0.6128205128205129,0.6923076923076923,0.6794871794871795
150,0.6410256410256411,0.6897435897435897,0.7025641025641025
150,0.5897435897435898,0.6615384615384615,0.6435897435897436
150,0.5897435897435898,0.6871794871794872,0.6461538461538462
150,0.6153846153846154,0.7256410256410256,0.6564102564102564
150,0.6487179487179487,0.7256410256410256,0.6743589743589744
150,0.5974358974358974,0.7051282051282052,0.6615384615384615
150,0.5512820512820513,0.658974358974359,0.6256410256410256
200,0.6076923076923076,0.6641025641025641,0.6794871794871795
200,0.6358974358974359,0.6820512820512821,0.6846153846153846
200,0.5820512820512821,0.6461538461538462,0.6410256410256411
200,0.5769230769230769,0.6666666666666666,0.6564102564102564
200,0.6102564102564103,0.7025641025641025,0.6564102564102564
200,0.6333333333333333,0.7102564102564103,0.6641025641025641
200,0.5923076923076923,0.6743589743589744,0.658974358974359
200,0.5666666666666667,0.6384615384615384,0.6282051282051282
250,0.5948717948717949,0.658974358974359,0.6743589743589744
250,0.6282051282051282,0.676923076923077,0.6717948717948717
250,0.5794871794871795,0.6487179487179487,0.6487179487179487
250,0.5666666666666667,0.6538461538461539,0.6435897435897436
250,0.6,0.6948717948717948,0.6564102564102564
250,0.6256410256410256,0.7128205128205128,0.658974358974359
250,0.5743589743589743,0.6820512820512821,0.6641025641025641
250,0.5615384615384615,0.6410256410256411,0.6
300,0.5974358974358974,0.6538461538461539,0.6615384615384615
300,0.6256410256410256,0.6717948717948717,0.6717948717948717
300,0.5769230769230769,0.6358974358974359,0.6282051282051282
300,0.5743589743589743,0.6384615384615384,0.6435897435897436
300,0.5923076923076923,0.7,0.6333333333333333
300,0.6230769230769231,0.7076923076923077,0.6538461538461539
300,0.5615384615384615,0.6743589743589744,0.6487179487179487
300,0.5641025641025641,0.6410256410256411,0.6076923076923076
350,0.5846153846153846,0.658974358974359,0.6512820512820513
350,0.6205128205128205,0.6666666666666666,0.6666666666666666
350,0.5692307692307692,0.6487179487179487,0.6307692307692307
350,0.5717948717948718,0.6487179487179487,0.6384615384615384
350,0.5871794871794872,0.6948717948717948,0.6333333333333333
350,0.617948717948718,0.7,0.6333333333333333
350,0.5538461538461539,0.6820512820512821,0.6410256410256411
350,0.5692307692307692,0.6384615384615384,0.6076923076923076
400,0.5974358974358974,0.6461538461538462,0.6461538461538462
400,0.6128205128205129,0.6717948717948717,0.6666666666666666
400,0.5871794871794872,0.6358974358974359,0.6307692307692307
400,0.5692307692307692,0.6282051282051282,0.6333333333333333
400,0.5948717948717949,0.7025641025641025,0.6282051282051282
400,0.617948717948718,0.6974358974358974,0.6487179487179487
400,0.5641025641025641,0.676923076923077,0.6410256410256411
400,0.5615384615384615,0.6333333333333333,0.5923076923076923
450,0.5897435897435898,0.6487179487179487,0.6358974358974359
450,0.6102564102564103,0.6641025641025641,0.6641025641025641
450,0.5692307692307692,0.6307692307692307,0.6102564102564103
450,0.5666666666666667,0.6282051282051282,0.6282051282051282
450,0.5897435897435898,0.6897435897435897,0.6230769230769231
450,0.6153846153846154,0.6948717948717948,0.6358974358974359
450,0.5641025641025641,0.6743589743589744,0.6384615384615384
450,0.5666666666666667,0.6230769230769231,0.5897435897435898
500,0.5897435897435898,0.6461538461538462,0.6333333333333333
500,0.6076923076923076,0.6615384615384615,0.658974358974359
500,0.5692307692307692,0.6358974358974359,0.6153846153846154
500,0.5692307692307692,0.6128205128205129,0.6358974358974359
500,0.5820512820512821,0.6897435897435897,0.6230769230769231
500,0.6102564102564103,0.6846153846153846,0.6333333333333333
500,0.5487179487179488,0.6692307692307692,0.6307692307692307
500,0.5692307692307692,0.6307692307692307,0.5897435897435898
550,0.5923076923076923,0.6538461538461539,0.6384615384615384
550,0.6051282051282051,0.6564102564102564,0.6615384615384615
550,0.5717948717948718,0.6230769230769231,0.6153846153846154
550,0.5641025641025641,0.617948717948718,0.6333333333333333
550,0.5846153846153846,0.6948717948717948,0.6333333333333333
550,0.6205128205128205,0.6897435897435897,0.6333333333333333
550,0.5538461538461539,0.6615384615384615,0.6333333333333333
550,0.5692307692307692,0.6358974358974359,0.5820512820512821
600,0.5923076923076923,0.6538461538461539,0.6282051282051282
600,0.6051282051282051,0.6666666666666666,0.6564102564102564
600,0.5692307692307692,0.6282051282051282,0.6102564102564103
600,0.5692307692307692,0.6128205128205129,0.6230769230769231
600,0.5820512820512821,0.6897435897435897,0.6230769230769231
600,0.6230769230769231,0.6897435897435897,0.6333333333333333
600,0.5564102564102564,0.6717948717948717,0.6307692307692307
600,0.5717948717948718,0.6256410256410256,0.5871794871794872
650,0.5846153846153846,0.6461538461538462,0.6358974358974359
650,0.6051282051282051,0.6564102564102564,0.6487179487179487
650,0.5692307692307692,0.6358974358974359,0.6128205128205129
650,0.5615384615384615,0.6051282051282051,0.6230769230769231
650,0.5871794871794872,0.6871794871794872,0.6282051282051282
650,0.6102564102564103,0.6820512820512821,0.6282051282051282
650,0.5487179487179488,0.6538461538461539,0.6282051282051282
650,0.5717948717948718,0.6333333333333333,0.5871794871794872
700,0.5923076923076923,0.6358974358974359,0.6230769230769231
700,0.6076923076923076,0.6512820512820513,0.6487179487179487
700,0.5743589743589743,0.6384615384615384,0.6128205128205129
700,0.5641025641025641,0.6102564102564103,0.6282051282051282
700,0.5846153846153846,0.6794871794871795,0.6282051282051282
700,0.6153846153846154,0.6794871794871795,0.6307692307692307
700,0.5487179487179488,0.6512820512820513,0.6256410256410256
700,0.5717948717948718,0.6230769230769231,0.5846153846153846
750,0.5846153846153846,0.6435897435897436,0.6256410256410256
750,0.6051282051282051,0.658974358974359,0.6461538461538462
750,0.5666666666666667,0.6256410256410256,0.6128205128205129
750,0.5615384615384615,0.6102564102564103,0.6282051282051282
750,0.5769230769230769,0.6846153846153846,0.6205128205128205
750,0.6102564102564103,0.6820512820512821,0.6307692307692307
750,0.5512820512820513,0.6538461538461539,0.6205128205128205
750,0.5666666666666667,0.6205128205128205,0.5820512820512821
800,0.5923076923076923,0.6435897435897436,0.6282051282051282
800,0.6051282051282051,0.658974358974359,0.6435897435897436
800,0.5717948717948718,0.6307692307692307,0.6025641025641025
800,0.5615384615384615,0.6025641025641025,0.617948717948718
800,0.5897435897435898,0.6846153846153846,0.6230769230769231
800,0.6205128205128205,0.6794871794871795,0.6333333333333333
800,0.5512820512820513,0.6512820512820513,0.6282051282051282
800,0.5692307692307692,0.6230769230769231,0.5820512820512821
